Title,Removed amounts and measurements
Tofu Tacos with Chipotle Sauce,"['tofu','soy sauce','maple syrup','hot sauce','apple','oil','cumin','salt','chipotle sauce','cabbage','pepper','orange','spinach','corn','cilantro']"
Tacos Rancheros Recipe,"['pepper','onion','clove','oil','chili','oregano','cumin','pepper','tomato','apple','cabbage','radishes','cilantro','lime','avocado','butter','egg','feta','corn','salt','pepper']"
Lentil Tacos,"['lentils','taco','onion','clove','oil','ketchup','corn','cream']"
Superfood Veggie Quesadilla,"['potato','spinach','oil','garlic','cumin','beans','flour','apple','salt']"
Chipotle Quesadilla with Avocado,"['chipotle sauce','beans','cumin','oil','salt','avocado','cheese','corn','tortilla','cilantro']"
Brie & Mushroom Quesadilla,"['oil','mushroom','rosemary','salt','pepper','flour','brie','arugula','honey','parsley']"
Greek Quesadillas,"['tortilla','spinach','onion','pepper','olives','mozzarella','feta','oregano','pepper']"
Ultimate Rainbow Vegetable Sandwich,"['radishes','apple','sugar','salt','pepper','pepper','oil','salt','cheese','oil','basil','oregano','bread','avocado','lettuce','onion']"
Avocado Club Sandwich,"['bacon','bread','avocado','tomato','mayonnaise','lettuce','cheddar','cheese']"
5 Minute Pesto Breakfast Sandwich,"['oil','egg','grain','pesto','arugula','salt']"
Brownie Ice Cream Sandwich,"['walnut','cocoa','medjool dates','salt','cola']"
Vegan BLT Sandwich Recipe,"['oil','soy sauce','liquid smoke','hot sauce','cumin','pepper','tea','tempeh','bread','tomato','lettuce','mayonnaise']"
Vegetarian Reuben Sandwich,"[' easy russian dressing','sauerkraut','bread','cheese','butter']"
World's Best Tuna Melt,"['tuna','onion','dill','yogurt','mayonnaise','dijon mustard','salt','tomato','bread','cheddar']"
Vegan Shepherd's Pie (Best Ever!),"['potato','oil','mushroom','onion','carrot','salt','flour','fennel','paprika','garlic','sage','broth','peas','lentils','soy sauce','rosemary']"
Amazing Tomato Pie,"['flour','salt','baking powder','tea','butter','water','tomato','egg','mayonnaise','garlic','onion','salt','chives','dijon mustard','parmesan','mozzarella','basil']"
Classic Vegan Apple Pie,"['flour','salt','baking powder','coconut','water','apple','corn','sugar','cinnamon','gin','salt','vanilla','tea']"
Best Vegan Pot Pie,"['flour','salt','baking powder','sage','coconut','water','shallot','beans','oil','potato','potato','onion','pepper','mushroom','garlic','paprika','tea','flour','broth','soy sauce','salt']"
