Title,Ingredients,,Removed amounts and measurements
Eggs Benedict Breakfast Pizza,"['12 eggs, well beaten', '1 tablespoon butter', '2 (8 ounce) cans refrigerated crescent rolls', '1 (.9 ounce) package hollandaise sauce mix', 'â…” cup milk', 'Â¼ cup butter', '3 cups diced cooked ham', '1 cup shredded sharp Cheddar cheese']",,"[' eggs, well beaten', ' tablespoon butter', ' ( ounce) cans refrigerated crescent rolls', ' (. ounce) package hollandaise sauce mix', 'â…” cup milk', 'Â¼ cup butter', ' cups diced cooked ham', ' cup shredded sharp Cheddar cheese']"
"Pizza with Ham, Asparagus, and Ricotta","['1 cup fresh asparagus, trimmed', 'Â½ cup ricotta cheese', 'Â¼ cup olive oil', '2 cloves garlic, minced', '1 pinch red pepper flakes, or to taste', 'salt and freshly ground black pepper to taste', '2 tablespoons heavy cream', '2 tablespoons chopped herbs, such as basil, parsley, rosemary, thyme', '1 pound pizza dough (see footnote for recipe link)', '1 tablespoon flour, for dusting', 'Â½ cup diced smoked ham', 'Â½ cup shredded sharp white Cheddar cheese', '1 tablespoon finely grated Parmigiano-Reggiano cheese']",,"[' cup fresh asparagus, trimmed', 'Â½ cup ricotta cheese', 'Â¼ cup olive oil', ' cloves garlic, minced', ' pinch red pepper flakes, or to taste', 'salt and freshly ground black pepper to taste', ' tablespoons heavy cream', ' tablespoons chopped herbs, such as basil, parsley, rosemary, thyme', ' pound pizza dough (see footnote for recipe link)', ' tablespoon flour, for dusting', 'Â½ cup diced smoked ham', 'Â½ cup shredded sharp white Cheddar cheese', ' tablespoon finely grated Parmigiano-Reggiano cheese']"
Butternut Squash Pizzas with Rosemary,"['1 cup thinly sliced onion', 'Â½ butternut squash - peeled, seeded, and thinly sliced', '1 teaspoon chopped fresh rosemary', 'salt and black pepper to taste', '3 tablespoons olive oil, divided', '1 (16 ounce) package refrigerated pizza crust dough, divided', '1 tablespoon cornmeal', '2 tablespoons grated Asiago or Parmesan cheese']",,"[' cup thinly sliced onion', 'Â½ butternut squash - peeled, seeded, and thinly sliced', ' teaspoon chopped fresh rosemary', 'salt and black pepper to taste', ' tablespoons olive oil, divided', ' ( ounce) package refrigerated pizza crust dough, divided', ' tablespoon cornmeal', ' tablespoons grated Asiago or Parmesan cheese']"
Jimmy's Mexican Pizza,"['Â½ pound ground beef', '1 medium onion, diced', '1 clove garlic, minced', '1 tablespoon chili powder', '1 teaspoon ground cumin', 'Â½ teaspoon paprika', 'Â½ teaspoon black pepper', 'Â½ teaspoon salt', '1 (16 ounce) can refried beans', '4 (10 inch) flour tortillas', 'Â½ cup salsa', '1 cup shredded Cheddar cheese', '1 cup shredded Monterey Jack cheese', '2 green onions, chopped', '2 roma (plum) tomatoes, diced', 'Â¼ cup thinly sliced jalapeno pepper', 'Â¼ cup sour cream']",,"['Â½ pound ground beef', ' medium onion, diced', ' clove garlic, minced', ' tablespoon chili powder', ' teaspoon ground cumin', 'Â½ teaspoon paprika', 'Â½ teaspoon black pepper', 'Â½ teaspoon salt', ' ( ounce) can refried beans', ' ( inch) flour tortillas', 'Â½ cup salsa', ' cup shredded Cheddar cheese', ' cup shredded Monterey Jack cheese', ' green onions, chopped', ' roma (plum) tomatoes, diced', 'Â¼ cup thinly sliced jalapeno pepper', 'Â¼ cup sour cream']"
Hummus Pizza,"['1 (10 ounce) can refrigerated pizza crust dough', '1 cup hummus spread', '1 Â½ cups sliced bell peppers, any color', '1 cup broccoli florets', '2 cups shredded Monterey Jack cheese']",,"[' ( ounce) can refrigerated pizza crust dough', ' cup hummus spread', ' Â½ cups sliced bell peppers, any color', ' cup broccoli florets', ' cups shredded Monterey Jack cheese']"
Reuben Pizza,"['1 (1 pound) loaf frozen whole wheat bread dough, thawed', 'Â½ cup thousand island dressing', '2 cups shredded Swiss cheese', '6 ounces deli sliced corned beef, cut into strips', '1 cup sauerkraut - rinsed and drained', 'Â½ teaspoon caraway seed', 'Â¼ cup chopped dill pickles']",,"[' ( pound) loaf frozen whole wheat bread dough, thawed', 'Â½ cup thousand island dressing', ' cups shredded Swiss cheese', ' ounces deli sliced corned beef, cut into strips', ' cup sauerkraut - rinsed and drained', 'Â½ teaspoon caraway seed', 'Â¼ cup chopped dill pickles']"
Waffle Pizzas,"['1 pound pizza dough', 'Â½ cup pizza sauce, divided', '1 cup shredded mozzarella cheese, divided', '16 slices pepperoni']",,"[' pound pizza dough', 'Â½ cup pizza sauce, divided', ' cup shredded mozzarella cheese, divided', ' slices pepperoni']"
Poutine Pizza,"['2 cups all-purpose flour', '1 cup lukewarm water', '1 egg', '1 tablespoon instant yeast', '1 tablespoon white sugar', '1 (14 ounce) package frozen French fries (such as McCainÂ®)', 'cooking spray', '10 slices bacon, chopped', '1 (12 ounce) bag shredded Mexican cheese blend (such as KraftÂ®)', 'Â½ cup pizza sauce, or as needed', '1 (10.5 ounce) can beef gravy, or as needed']",,"[' cups all-purpose flour', ' cup lukewarm water', ' egg', ' tablespoon instant yeast', ' tablespoon white sugar', ' ( ounce) package frozen French fries (such as McCainÂ®)', 'cooking spray', ' slices bacon, chopped', ' ( ounce) bag shredded Mexican cheese blend (such as KraftÂ®)', 'Â½ cup pizza sauce, or as needed', ' (. ounce) can beef gravy, or as needed']"
Mexican Pizza,"['Â½ (16 ounce) can spicy fat-free refried beans*', '1 cup salsa, divided', '1 (12 inch) pre-baked Italian pizza crust', '2 cups shredded hearts of romaine lettuce', '3 medium green onions, thinly sliced', 'Â¼ cup ranch dressing', 'Â¼ cup crumbled tortilla chips', '1 cup shredded pepper Jack or Monterey Jack cheese']",,"['Â½ ( ounce) can spicy fat-free refried beans*', ' cup salsa, divided', ' ( inch) pre-baked Italian pizza crust', ' cups shredded hearts of romaine lettuce', ' medium green onions, thinly sliced', 'Â¼ cup ranch dressing', 'Â¼ cup crumbled tortilla chips', ' cup shredded pepper Jack or Monterey Jack cheese']"
Pierogi Pizza,"['2 Â¼ teaspoons active dry yeast', '2 teaspoons white sugar', '1 cup warm water', '3 cups all-purpose flour', '1 teaspoon salt', 'Â¼ cup olive oil', '6 potatoes, thinly sliced', '2 tablespoons olive oil', '8 ounces sour cream', '2 tablespoons garlic powder', '1 (8 ounce) package marbled Colby-Monterey Jack cheese, shredded', '1 bunch green onions, chopped', 'Â¼ cup bacon bits, or to taste']",,"[' Â¼ teaspoons active dry yeast', ' teaspoons white sugar', ' cup warm water', ' cups all-purpose flour', ' teaspoon salt', 'Â¼ cup olive oil', ' potatoes, thinly sliced', ' tablespoons olive oil', ' ounces sour cream', ' tablespoons garlic powder', ' ( ounce) package marbled Colby-Monterey Jack cheese, shredded', ' bunch green onions, chopped', 'Â¼ cup bacon bits, or to taste']"
Fish Tacos,"['1 cup all-purpose flour', '2 tablespoons cornstarch', '1 teaspoon baking powder', 'Â½ teaspoon salt', '1 egg', '1 cup beer', 'Â½ cup plain yogurt', 'Â½ cup mayonnaise', '1 lime, juiced', '1 jalapeno pepper, minced', '1 teaspoon minced capers', 'Â½ teaspoon dried oregano', 'Â½ teaspoon ground cumin', 'Â½ teaspoon dried dill weed', '1 teaspoon ground cayenne pepper', '1 quart oil for frying', '1 pound cod fillets, cut into 2 to 3 ounce portions', '1 (12 ounce) package corn tortillas', 'Â½ medium head cabbage, finely shredded']",,"[' cup all-purpose flour', ' tablespoons cornstarch', ' teaspoon baking powder', 'Â½ teaspoon salt', ' egg', ' cup beer', 'Â½ cup plain yogurt', 'Â½ cup mayonnaise', ' lime, juiced', ' jalapeno pepper, minced', ' teaspoon minced capers', 'Â½ teaspoon dried oregano', 'Â½ teaspoon ground cumin', 'Â½ teaspoon dried dill weed', ' teaspoon ground cayenne pepper', ' quart oil for frying', ' pound cod fillets, cut into  to  ounce portions', ' ( ounce) package corn tortillas', 'Â½ medium head cabbage, finely shredded']"
Double Decker Tacos,"['1 pound ground beef', '1 (1 ounce) packet taco seasoning mix, divided', '1 (16 ounce) can refried beans', 'â…” cup water', '12 prepared crisp taco shells', '2 avocados', '1 tablespoon sour cream', '1 fresh lime, juiced', 'salt and black pepper to taste', '12 (7 inch) flour tortillas', '2 cups shredded Cheddar cheese', '1 cup shredded lettuce', '1 large tomato, chopped', 'Â¼ red onion, chopped', 'Â½ cup sour cream']",,"[' pound ground beef', ' ( ounce) packet taco seasoning mix, divided', ' ( ounce) can refried beans', 'â…” cup water', ' prepared crisp taco shells', ' avocados', ' tablespoon sour cream', ' fresh lime, juiced', 'salt and black pepper to taste', ' ( inch) flour tortillas', ' cups shredded Cheddar cheese', ' cup shredded lettuce', ' large tomato, chopped', 'Â¼ red onion, chopped', 'Â½ cup sour cream']"
Spicy DoritoÂ® Taco Salad,"['1 pound ground beef', 'Â½ teaspoon garlic powder', 'Â½ teaspoon chili powder', 'Â¼ teaspoon ground black pepper', '1 head lettuce, chopped', '5 cups crushed nacho cheese-flavored tortilla chips', '2 cups shredded Colby-Jack cheese', '1 (15 ounce) can dark red kidney beans, drained and rinsed', '1 tomato, diced', 'â…“ cup chopped onion', 'Â¼ cup pickled jalapeno peppers, chopped', '1 cup vegetable oil', 'Â½ cup white sugar', 'Â½ cup ketchup', '1 envelope taco seasoning mix', '2 tablespoons cider vinegar', '1 tablespoon Worcestershire sauce']",,"[' pound ground beef', 'Â½ teaspoon garlic powder', 'Â½ teaspoon chili powder', 'Â¼ teaspoon ground black pepper', ' head lettuce, chopped', ' cups crushed nacho cheese-flavored tortilla chips', ' cups shredded Colby-Jack cheese', ' ( ounce) can dark red kidney beans, drained and rinsed', ' tomato, diced', 'â…“ cup chopped onion', 'Â¼ cup pickled jalapeno peppers, chopped', ' cup vegetable oil', 'Â½ cup white sugar', 'Â½ cup ketchup', ' envelope taco seasoning mix', ' tablespoons cider vinegar', ' tablespoon Worcestershire sauce']"
Tasty Lentil Tacos,"['1 teaspoon canola oil', 'â…” cup finely chopped onion', '1 small clove garlic, minced', 'â…” cup dried lentils, rinsed', '1 tablespoon taco seasoning, or to taste', '1 â…” cups chicken broth', 'â…” cup salsa', '12 taco shells']",,"[' teaspoon canola oil', 'â…” cup finely chopped onion', ' small clove garlic, minced', 'â…” cup dried lentils, rinsed', ' tablespoon taco seasoning, or to taste', ' â…” cups chicken broth', 'â…” cup salsa', ' taco shells']"
Taqueria Style Tacos - Carne Asada,"['3 pounds flank steak', 'â…“ cup white vinegar', 'Â½ cup soy sauce', '4 cloves garlic, minced', '2 limes, juiced', 'Â½ cup olive oil', '1 teaspoon salt', '1 teaspoon ground black pepper', '1 teaspoon ground white pepper', '1 teaspoon garlic powder', '1 teaspoon chili powder', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1 teaspoon paprika', '1 white onion, chopped', 'Â½ cup chopped fresh cilantro', '1 lime, juiced', '2 large tomatoes, chopped', '2 jalapeno peppers, chopped', '1 white onion, quartered', '4 cloves garlic, peeled', '4 dried New Mexico chile pods', '1 pinch salt and pepper to taste', '1 (32 ounce) package corn tortillas', '2 cups grated cotija cheese', '2 limes, cut into wedges']",,"[' pounds flank steak', 'â…“ cup white vinegar', 'Â½ cup soy sauce', ' cloves garlic, minced', ' limes, juiced', 'Â½ cup olive oil', ' teaspoon salt', ' teaspoon ground black pepper', ' teaspoon ground white pepper', ' teaspoon garlic powder', ' teaspoon chili powder', ' teaspoon dried oregano', ' teaspoon ground cumin', ' teaspoon paprika', ' white onion, chopped', 'Â½ cup chopped fresh cilantro', ' lime, juiced', ' large tomatoes, chopped', ' jalapeno peppers, chopped', ' white onion, quartered', ' cloves garlic, peeled', ' dried New Mexico chile pods', ' pinch salt and pepper to taste', ' ( ounce) package corn tortillas', ' cups grated cotija cheese', ' limes, cut into wedges']"
Dee's Roast Pork for Tacos,"['4 pounds pork shoulder roast', '2 (4 ounce) cans diced green chilies, drained', 'Â¼ cup chili powder', '1 teaspoon dried oregano', '1 teaspoon taco seasoning', '2 teaspoons minced garlic', '1 Â½ teaspoons salt, or to taste']",,"[' pounds pork shoulder roast', ' ( ounce) cans diced green chilies, drained', 'Â¼ cup chili powder', ' teaspoon dried oregano', ' teaspoon taco seasoning', ' teaspoons minced garlic', ' Â½ teaspoons salt, or to taste']"
Turkey and Yam Spicy Tacos,"['1 yam, peeled and diced', '1 tablespoon olive oil', 'Â¾ pound ground turkey', 'Â½ cup chopped sweet onion', '1 clove garlic, minced', '4 jalapeno peppers, seeded and minced', '1 tablespoon chili powder', '1 teaspoon ground cumin', 'Â½ teaspoon Cajun seasoning', 'Â½ teaspoon salt', 'Â½ cup tomatillo salsa', 'Â½ cup chopped fresh cilantro', '16 warm flour tortillas']",,"[' yam, peeled and diced', ' tablespoon olive oil', 'Â¾ pound ground turkey', 'Â½ cup chopped sweet onion', ' clove garlic, minced', ' jalapeno peppers, seeded and minced', ' tablespoon chili powder', ' teaspoon ground cumin', 'Â½ teaspoon Cajun seasoning', 'Â½ teaspoon salt', 'Â½ cup tomatillo salsa', 'Â½ cup chopped fresh cilantro', ' warm flour tortillas']"
Tasty Ground Turkey Tacos,"['1 Â½ pounds ground turkey', '1 (8 ounce) can tomato sauce', '8 fluid ounces water', '1 (4 ounce) can diced green chile peppers', 'Â½ onion, chopped', '1 (1.25 ounce) package taco seasoning mix', '1 clove garlic, minced', '12 (6 inch) corn tortillas', '1 cup shredded lettuce, or to taste', 'Â½ cup Cheddar cheese, or to taste', 'Â½ cup diced tomatoes, or to taste', 'Â¼ cup chopped green onion, or to taste', 'Â¼ cup chopped cilantro, or to taste', '2 tablespoons sliced olives, or to taste']",,"[' Â½ pounds ground turkey', ' ( ounce) can tomato sauce', ' fluid ounces water', ' ( ounce) can diced green chile peppers', 'Â½ onion, chopped', ' (. ounce) package taco seasoning mix', ' clove garlic, minced', ' ( inch) corn tortillas', ' cup shredded lettuce, or to taste', 'Â½ cup Cheddar cheese, or to taste', 'Â½ cup diced tomatoes, or to taste', 'Â¼ cup chopped green onion, or to taste', 'Â¼ cup chopped cilantro, or to taste', ' tablespoons sliced olives, or to taste']"
Easy Keto Beef Tacos,"['2 cups shredded Cheddar cheese', '1 pound ground beef', 'Â½ package taco seasoning mix', 'Â½ teaspoon salt', 'Â¼ teaspoon ground black pepper', '1 avocado, diced', '1 cup shredded lettuce', 'Â½ cup shredded Cheddar cheese', 'Â½ cup tomatoes, diced']",,"[' cups shredded Cheddar cheese', ' pound ground beef', 'Â½ package taco seasoning mix', 'Â½ teaspoon salt', 'Â¼ teaspoon ground black pepper', ' avocado, diced', ' cup shredded lettuce', 'Â½ cup shredded Cheddar cheese', 'Â½ cup tomatoes, diced']"
Tater Tot Taco Casserole,"['1 pound ground beef', '1 small onion, diced', '1 clove garlic, minced', '1 (1 ounce) packet taco seasoning mix', '1 (16 ounce) bag frozen Mexican-style corn', '1 (12 ounce) can black beans, rinsed and drained', '1 (12 ounce) bag shredded Mexican cheese blend', '1 (16 ounce) package frozen tater tots', '1 (12 fluid ounce) can enchilada sauce']",,"[' pound ground beef', ' small onion, diced', ' clove garlic, minced', ' ( ounce) packet taco seasoning mix', ' ( ounce) bag frozen Mexican-style corn', ' ( ounce) can black beans, rinsed and drained', ' ( ounce) bag shredded Mexican cheese blend', ' ( ounce) package frozen tater tots', ' ( fluid ounce) can enchilada sauce']"
Taco Salad I,"['1 pound lean ground beef', '1 (1.25 ounce) package taco seasoning mix', '1 (16 ounce) can chili beans', '1 (16 ounce) bottle French dressing', '1 head iceberg lettuce', '1 (14.5 ounce) package tortilla chips', '2 cups shredded Cheddar cheese', '1 cup chopped tomatoes', '4 tablespoons sour cream', 'Â½ cup prepared salsa']",,"[' pound lean ground beef', ' (. ounce) package taco seasoning mix', ' ( ounce) can chili beans', ' ( ounce) bottle French dressing', ' head iceberg lettuce', ' (. ounce) package tortilla chips', ' cups shredded Cheddar cheese', ' cup chopped tomatoes', ' tablespoons sour cream', 'Â½ cup prepared salsa']"
Taco Salad III,"['16 ounces lean ground beef', '1 (1.25 ounce) package taco seasoning mix', '1 head iceberg lettuce, shredded', '1 red onion, sliced', '1 bunch green onions, chopped', '1 (15 ounce) can pinto beans, drained', '1 (15 ounce) can kidney beans, drained', '2 large tomatoes, chopped', '1 avocados - peeled, pitted, and cubed', '8 ounces shredded Cheddar cheese', '1 (16 ounce) package corn chips', '1 (16 ounce) bottle Catalina salad dressing']",,"[' ounces lean ground beef', ' (. ounce) package taco seasoning mix', ' head iceberg lettuce, shredded', ' red onion, sliced', ' bunch green onions, chopped', ' ( ounce) can pinto beans, drained', ' ( ounce) can kidney beans, drained', ' large tomatoes, chopped', ' avocados - peeled, pitted, and cubed', ' ounces shredded Cheddar cheese', ' ( ounce) package corn chips', ' ( ounce) bottle Catalina salad dressing']"
Irish Tacos,"['2 cups plain yogurt', 'Â½ cup mayonnaise', '1 lime, juiced', '2 tablespoons chopped fresh cilantro', '1 pinch cayenne pepper, or to taste', 'salt to taste', '1 Â½ cups shredded corned beef', '8 (10 inch) flour tortillas', '1 pound prepared coleslaw']",,"[' cups plain yogurt', 'Â½ cup mayonnaise', ' lime, juiced', ' tablespoons chopped fresh cilantro', ' pinch cayenne pepper, or to taste', 'salt to taste', ' Â½ cups shredded corned beef', ' ( inch) flour tortillas', ' pound prepared coleslaw']"
Shredded SpamÂ® Tacos,"['cooking spray', '1 (12 ounce) can low-sodium canned luncheon meat (such as SPAMÂ®)', 'Â½ (1 ounce) envelope taco seasoning mix', '2 tablespoons water, or as needed', '1 (8 inch) flour tortillas', '1 (8 ounce) package shredded lettuce', '8 ounces block Cheddar cheese, grated', '1 small tomato, diced', '1 small onion, diced', '2 (2.5 ounce) can sliced black olives, drained']",,"['cooking spray', ' ( ounce) can low-sodium canned luncheon meat (such as SPAMÂ®)', 'Â½ ( ounce) envelope taco seasoning mix', ' tablespoons water, or as needed', ' ( inch) flour tortillas', ' ( ounce) package shredded lettuce', ' ounces block Cheddar cheese, grated', ' small tomato, diced', ' small onion, diced', ' (. ounce) can sliced black olives, drained']"
Lobster Tacos,"['4 lobster tails', 'salt and ground black pepper to taste', 'Â¼ cup red guajillo chile sauce (such as HerdezÂ®)', '1 tomato, diced, divided', '3 green onions, chopped', 'Â¼ cup shredded Colby-Monterey Jack cheese', '8 (6 inch) flour tortillas', '1 small avocado, sliced', 'Â½ cup shredded lettuce']",,"[' lobster tails', 'salt and ground black pepper to taste', 'Â¼ cup red guajillo chile sauce (such as HerdezÂ®)', ' tomato, diced, divided', ' green onions, chopped', 'Â¼ cup shredded Colby-Monterey Jack cheese', ' ( inch) flour tortillas', ' small avocado, sliced', 'Â½ cup shredded lettuce']"
Navajo Tacos,"['1 pound dried pinto beans', '6 cups water, or as needed', '16 ounces frozen chili (such as JohnsonÂ®), thawed', '1 Â½ teaspoons ground cumin', '1 Â½ teaspoons dried oregano', '1 Â½ teaspoons garlic powder', '1 Â½ teaspoons onion powder', 'salt and ground black pepper to taste', '2 cups all-purpose flour (such as Blue BirdÂ®)', '2 tablespoons baking powder', '1 tablespoon salt', 'Â½ cup hot water, or as needed', 'Â¾ cup lard', '1 (16 ounce) package shredded Cheddar cheese', '2 tomatoes, chopped', '2 onions, chopped', '2 cups shredded iceberg lettuce']",,"[' pound dried pinto beans', ' cups water, or as needed', ' ounces frozen chili (such as JohnsonÂ®), thawed', ' Â½ teaspoons ground cumin', ' Â½ teaspoons dried oregano', ' Â½ teaspoons garlic powder', ' Â½ teaspoons onion powder', 'salt and ground black pepper to taste', ' cups all-purpose flour (such as Blue BirdÂ®)', ' tablespoons baking powder', ' tablespoon salt', 'Â½ cup hot water, or as needed', 'Â¾ cup lard', ' ( ounce) package shredded Cheddar cheese', ' tomatoes, chopped', ' onions, chopped', ' cups shredded iceberg lettuce']"
Easy Tacos,"['2 pounds ground beef', ""1 (14.5 ounce) carton Campbell'sÂ® Mexican Style Tomato Soup"", '12 taco shells, warmed', 'Â¾ cup shredded lettuce', 'â…“ cup shredded Cheddar cheese', 'Â¾ cup diced tomato']",,"[' pounds ground beef', "" (. ounce) carton Campbell'sÂ® Mexican Style Tomato Soup"", ' taco shells, warmed', 'Â¾ cup shredded lettuce', 'â…“ cup shredded Cheddar cheese', 'Â¾ cup diced tomato']"
Steak Taco,"['1 (3/4 pound) flank steak, trimmed', 'Â½ teaspoon freshly ground black pepper', 'Cooking spray', '1 tablespoon fresh lime juice', 'Â½ tablespoon olive oil', '2 cloves garlic, minced', 'Â¼ teaspoon kosher salt', '1 cup chopped romaine lettuce', '1 cup chopped red cabbage', '1 Avocado from Mexico, sliced', '1 (16 ounce) jar pickled red onions', 'Grilled scallions for garnish', '6 (6 inch) corn tortillas']",,"[' (/ pound) flank steak, trimmed', 'Â½ teaspoon freshly ground black pepper', 'Cooking spray', ' tablespoon fresh lime juice', 'Â½ tablespoon olive oil', ' cloves garlic, minced', 'Â¼ teaspoon kosher salt', ' cup chopped romaine lettuce', ' cup chopped red cabbage', ' Avocado from Mexico, sliced', ' ( ounce) jar pickled red onions', 'Grilled scallions for garnish', ' ( inch) corn tortillas']"
Tongue Tacos,"['1 beef tongue', '2 tomatoes, diced', '1 onion, diced', '1 bunch fresh cilantro, chopped', '1 tablespoon vegetable oil', 'salt and pepper to taste', '6 (6 inch) corn tortillas', '3 tablespoons lemon juice']",,"[' beef tongue', ' tomatoes, diced', ' onion, diced', ' bunch fresh cilantro, chopped', ' tablespoon vegetable oil', 'salt and pepper to taste', ' ( inch) corn tortillas', ' tablespoons lemon juice']"
Eggplant Tacos,"['Â¼ cup olive oil, divided', '1 small onion, chopped', '2 tablespoons lemon juice', '2 cloves fresh garlic, minced', 'Â¼ jalapeno pepper, minced', '1 eggplant, cut into cubes', '2 tablespoons ground cumin', '1 tablespoon paprika', '1 Â½ teaspoons chili powder', '1 teaspoon ground black pepper', ""Â½ teaspoon seasoned salt (such as Johnny's Seasoning SaltÂ®)"", '4 taco shells']",,"['Â¼ cup olive oil, divided', ' small onion, chopped', ' tablespoons lemon juice', ' cloves fresh garlic, minced', 'Â¼ jalapeno pepper, minced', ' eggplant, cut into cubes', ' tablespoons ground cumin', ' tablespoon paprika', ' Â½ teaspoons chili powder', ' teaspoon ground black pepper', ""Â½ teaspoon seasoned salt (such as Johnny's Seasoning SaltÂ®)"", ' taco shells']"
Indian Tacos,"['2 cups all-purpose flour', '1 tablespoon baking powder', 'Â½ teaspoon white sugar', 'Â½ teaspoon salt', '1 Â½ cups lukewarm water', '2 cups oil for frying, or as needed', '1 pound ground beef', '1 (1.25 ounce) package chili seasoning mix', '1 (15 ounce) can kidney beans, drained', '2 cups shredded Cheddar cheese', '2 cups chopped iceberg lettuce', '2 tomatoes, chopped', '1 cup sour cream']",,"[' cups all-purpose flour', ' tablespoon baking powder', 'Â½ teaspoon white sugar', 'Â½ teaspoon salt', ' Â½ cups lukewarm water', ' cups oil for frying, or as needed', ' pound ground beef', ' (. ounce) package chili seasoning mix', ' ( ounce) can kidney beans, drained', ' cups shredded Cheddar cheese', ' cups chopped iceberg lettuce', ' tomatoes, chopped', ' cup sour cream']"
Lentil Tacos,"['2 teaspoons ground ancho chile powder', '1 teaspoon ground cumin', 'Â½ teaspoon ground coriander', 'Â½ teaspoon dried oregano', 'Â½ teaspoon salt', 'Â¼ teaspoon ground fennel seed', '2 teaspoons olive oil', '1 small onion, minced', '2 cloves garlic, minced', '2 Â½ cups cooked brown or green lentils', '3 tablespoons tomato paste', '2 tablespoons water, or as needed', '2 canned chipotle chiles in adobo sauce, seeded and minced', '1 teaspoon adobo or hot sauce', '8 (6 inch) vegan corn or flour tortillas', '1 cup shredded lettuce', '1 cup chopped tomatoes', 'Â¼ cup chopped fresh cilantro', '1 cup guacamole', '1 lime, cut into 8 wedges']",,"[' teaspoons ground ancho chile powder', ' teaspoon ground cumin', 'Â½ teaspoon ground coriander', 'Â½ teaspoon dried oregano', 'Â½ teaspoon salt', 'Â¼ teaspoon ground fennel seed', ' teaspoons olive oil', ' small onion, minced', ' cloves garlic, minced', ' Â½ cups cooked brown or green lentils', ' tablespoons tomato paste', ' tablespoons water, or as needed', ' canned chipotle chiles in adobo sauce, seeded and minced', ' teaspoon adobo or hot sauce', ' ( inch) vegan corn or flour tortillas', ' cup shredded lettuce', ' cup chopped tomatoes', 'Â¼ cup chopped fresh cilantro', ' cup guacamole', ' lime, cut into  wedges']"
Pork Tacos,"['1 pound ground pork', '3 red potatoes', 'salt and pepper to taste', '8 taco shells', '1 cup iceberg lettuce, shredded', '1 cup chopped fresh tomato', 'Â¼ cup sour cream']",,"[' pound ground pork', ' red potatoes', 'salt and pepper to taste', ' taco shells', ' cup iceberg lettuce, shredded', ' cup chopped fresh tomato', 'Â¼ cup sour cream']"
Cowboy Tacos,"['1 pound cubed or minced pork stew meat', '1 (1.25 ounce) package taco seasoning mix', '1 tablespoon vegetable oil', '1 cup chunky salsa', '1 (16 ounce) can chili beans, undrained', 'â…“ cup apricot preserves', '12 taco shells', '1 (10 ounce) can sliced ripe olives, for topping']",,"[' pound cubed or minced pork stew meat', ' (. ounce) package taco seasoning mix', ' tablespoon vegetable oil', ' cup chunky salsa', ' ( ounce) can chili beans, undrained', 'â…“ cup apricot preserves', ' taco shells', ' ( ounce) can sliced ripe olives, for topping']"
Italian Tacos,"['Â½ pound Italian sausage', '1 pound ground beef', '1 (16 ounce) jar tomato pasta sauce', '1 teaspoon sugar', '16 taco shells, heated', '3 cups shredded mozzarella cheese', '1 tablespoon dried Italian seasoning']",,"['Â½ pound Italian sausage', ' pound ground beef', ' ( ounce) jar tomato pasta sauce', ' teaspoon sugar', ' taco shells, heated', ' cups shredded mozzarella cheese', ' tablespoon dried Italian seasoning']"
Avocado Tacos,"['3 avocados - peeled, pitted, and mashed', 'Â¼ cup onions, diced', 'Â¼ teaspoon garlic salt', '12 (6 inch) corn tortillas', '1 bunch fresh cilantro leaves, finely chopped', 'jalapeno pepper sauce, to taste']",,"[' avocados - peeled, pitted, and mashed', 'Â¼ cup onions, diced', 'Â¼ teaspoon garlic salt', ' ( inch) corn tortillas', ' bunch fresh cilantro leaves, finely chopped', 'jalapeno pepper sauce, to taste']"
Taco Pie,"['1 (8 ounce) package refrigerated crescent rolls', '1 pound ground beef', '1 (1 ounce) package taco seasoning mix', '1 (16 ounce) container sour cream', '8 ounces shredded Mexican-style cheese blend', '1 (14 ounce) bag tortilla chips, crushed']",,"[' ( ounce) package refrigerated crescent rolls', ' pound ground beef', ' ( ounce) package taco seasoning mix', ' ( ounce) container sour cream', ' ounces shredded Mexican-style cheese blend', ' ( ounce) bag tortilla chips, crushed']"
Chicken Quesadillas,"['1 pound skinless, boneless chicken breast, diced', '1 (1.27 ounce) packet fajita seasoning', '1 tablespoon vegetable oil', '2 green bell peppers, chopped', '2 red bell peppers, chopped', '1 onion, chopped', '10 (10 inch) flour tortillas', '1 (8 ounce) package shredded Cheddar cheese', '1 tablespoon bacon bits', '1 (8 ounce) package shredded Monterey Jack cheese']",,"[' pound skinless, boneless chicken breast, diced', ' (. ounce) packet fajita seasoning', ' tablespoon vegetable oil', ' green bell peppers, chopped', ' red bell peppers, chopped', ' onion, chopped', ' ( inch) flour tortillas', ' ( ounce) package shredded Cheddar cheese', ' tablespoon bacon bits', ' ( ounce) package shredded Monterey Jack cheese']"
