Title,Ingredients,,Removed amounts and measurements,
Spicy Kale Lasagna,"['1 1/4 pounds kale (around 3 bunches)', '3 garlic cloves', '3 tablespoons olive oil', '1 teaspoon red pepper flakes', '2 teaspoons kosher salt, divided', '28-ounce can crushed tomatoes (with herbs if possible)', '1 teaspoon lemon juice', '4 cups cottage cheese', '3/4 cup Parmesan cheese, divided', '2 1/2 cups mozzarella cheese, divided', '1 teaspoon fresh ground black pepper', '1 pound no-boil whole wheat lasagna noodles (or noodles cooked according to the package instructions)']",,"[' kalearound  bunches', ' garlic cloves', 'olive oil', 'red pepper flakes', 'kosher salt, divided', ' can crushed tomatoeswith herbs if possible', 'lemon juice', 'cottage cheese', 'Parmesan cheese, divided', ' mozzarella cheese, divided', 'fresh ground black pepper', 'no-boil whole wheat lasagna noodlesor noodles cooked according to the package instructions']",
Vegetarian Spinach Quiche with Almond Crust,"['2 cups almond flour', '3 cloves garlic, minced', '1 tablespoon minced fresh thyme', '1/2 teaspoon fine sea salt', 'Pinch of fresh ground black pepper', 'Pinch of crushed red pepper flakes', '1/3 cup olive oil', '1 tablespoon olive oil', '3 shallots, minced (about 1/2 cup)', '3 cloves garlic, minced', '2 cups roughly chopped greens: spinach, chard or mustard greens', '1/4 cup dry white wine', '1/2 cup whole milk', '4 eggs', '1/2 cup grated Gruyere cheese', 'Generous pinch of freshly grated nutmeg', '1 teaspoon fine sea salt', 'Pinch of freshly ground black pepper']",,"['almond flour', ' cloves garlic, minced', 'minced fresh thyme', 'fine sea salt', 'Pinch of fresh ground black pepper', 'Pinch of crushed red pepper flakes', 'olive oil', 'olive oil', ' shallots, mincedabout ', ' cloves garlic, minced', 'roughly chopped greens: spinach, chard or mustard greens', 'dry white wine', 'whole milk', ' eggs', 'grated Gruyere cheese', 'Generous pinch of freshly grated nutmeg', 'fine sea salt', 'Pinch of freshly ground black pepper']",
Roasted Poblano and Corn Calzones,"['1 recipe Best Homemade Pizza Dough Recipe or Food Processor Pizza Dough', '4 poblano peppers', '1 red onion', 'Olive oil', '1 ear corn', '1/2 teaspoon cumin', '1/2 teaspoon oregano', 'Â½ teaspoon garlic powder', '1/2 teaspoon chili powder', '1 teaspoon kosher salt', '2 cups shredded Monterrey jack cheese', '1 egg']",,"[' Best Homemade Pizza Dough Recipe or Food Processor Pizza Dough', ' poblano peppers', ' red onion', 'Olive oil', ' ear corn', 'cumin', 'oregano', 'garlic powder', 'chili powder', 'kosher salt', 'shredded Monterrey jack cheese', ' egg']",
Easy Calzone Recipe,"['1 recipe Best Homemade Pizza Dough Recipe or Food Processor Pizza Dough', '16 ounces baby bella mushrooms', '4 garlic cloves', '6 cups (5 ounces) baby spinach leaves (roughly chopped and washed, if using standard spinach)', '2 tablespoon olive oil', '1 1/2 tablespoons dried basil (or a handful of chopped fresh basil if in season)', '1 cup Easy Homemade Pizza Sauce, plus more to serve (make 2 x the recipe)', '2 cups shredded mozzarella cheese', '1/2 cup Parmesan cheese', '1 egg', 'Kosher salt']",,"[' Best Homemade Pizza Dough Recipe or Food Processor Pizza Dough', 'baby bella mushrooms', ' garlic cloves', 's baby spinach leavesroughly chopped and washed, if using standard spinach', 'olive oil', ' dried basilor a handful of chopped fresh basil if in season', 'Easy Homemade Pizza Sauce, plus more to servemake  x the', 'shredded mozzarella cheese', 'Parmesan cheese', ' egg', 'Kosher salt']",
,[],,[],
Pear and Gorgonzola Cheese Pizza,"['1 (16 ounce) package refrigerated pizza crust dough', '4 ounces sliced provolone cheese', '1 Bosc pear, thinly sliced', '2 ounces chopped walnuts', '2 Â½ ounces Gorgonzola cheese, crumbled', '2 tablespoons chopped fresh chives']",,"[' package refrigerated pizza crust dough', 'sliced provolone cheese', ' Bosc pear, thinly sliced', 'chopped walnuts', ' Gorgonzola cheese, crumbled', 'chopped fresh chives']",
Veggie Pizza,"['2 (8 ounce) packages refrigerated crescent rolls', '1 cup sour cream', '1 (8 ounce) package cream cheese, softened', '1 teaspoon dried dill weed', 'Â¼ teaspoon garlic salt', '1 (1 ounce) package ranch dressing mix', '1 small onion, finely chopped', '1 stalk celery, thinly sliced', 'Â½ cup halved and thinly-sliced radishes', '1 red bell pepper, chopped', '1 Â½ cups fresh broccoli, chopped', '1 carrot, grated']",,"[' packages refrigerated crescent rolls', 'sour cream', ' package cream cheese, softened', 'dried dill weed', 'garlic salt', ' package ranch dressing mix', ' small onion, finely chopped', ' stalk celery, thinly sliced', 'halved and thinly-sliced radishes', ' red bell pepper, chopped', ' fresh broccoli, chopped', ' carrot, grated']",
Four Cheese Margherita Pizza,"['Â¼ cup olive oil', '1 tablespoon minced garlic', 'Â½ teaspoon sea salt', '8 Roma tomatoes, sliced', '2 (12 inch) pre-baked pizza crusts', '8 ounces shredded Mozzarella cheese', '4 ounces shredded Fontina cheese', '10 fresh basil leaves, washed, dried', 'Â½ cup freshly grated Parmesan cheese', 'Â½ cup crumbled feta cheese']",,"['olive oil', 'minced garlic', 'sea salt', ' Roma tomatoes, sliced', ' inch pre-baked pizza crusts', 'shredded Mozzarella cheese', 'shredded Fontina cheese', ' fresh basil leaves, washed, dried', 'freshly grated Parmesan cheese', 'crumbled feta cheese']",
Jan's Jalapeno Popper Pizza,"['8 slices bacon, cut into 1-inch pieces', 'Â¾ cup chopped onion', '2 cloves garlic, chopped', 'Â½ teaspoon ground cumin', 'Â½ teaspoon dried oregano', 'Â½ teaspoon ground black pepper', '1 (8 ounce) package reduced-fat cream cheese, cut into cubes', 'Â¼ cup sour cream', '1 prepared 16-inch pizza dough pastry', '1 cup shredded mozzarella cheese, or more to taste', 'Â½ cup shredded reduced-fat Cheddar cheese', '4 jalapeno peppers, sliced into thin rings', '1 tablespoon dried parsley flakes']",,"[' slices bacon, cut into -inch pieces', 'chopped onion', ' cloves garlic, chopped', 'ground cumin', 'dried oregano', 'ground black pepper', ' package reduced-fat cream cheese, cut into cubes', 'sour cream', ' prepared -inch pizza dough pastry', 'shredded mozzarella cheese, or more to taste', 'shredded reduced-fat Cheddar cheese', ' jalapeno peppers, sliced into thin rings', 'dried parsley flakes']",
Eggs Benedict Breakfast Pizza,"['12 eggs, well beaten', '1 tablespoon butter', '2 (8 ounce) cans refrigerated crescent rolls', '1 (.9 ounce) package hollandaise sauce mix', 'â…” cup milk', 'Â¼ cup butter', '3 cups diced cooked ham', '1 cup shredded sharp Cheddar cheese']",,"[' eggs, well beaten', 'butter', ' cans refrigerated crescent rolls', '. package hollandaise sauce mix', 'milk', 'butter', 'diced cooked ham', 'shredded sharp Cheddar cheese']",
"Pizza with Ham, Asparagus, and Ricotta","['1 cup fresh asparagus, trimmed', 'Â½ cup ricotta cheese', 'Â¼ cup olive oil', '2 cloves garlic, minced', '1 pinch red pepper flakes, or to taste', 'salt and freshly ground black pepper to taste', '2 tablespoons heavy cream', '2 tablespoons chopped herbs, such as basil, parsley, rosemary, thyme', '1 pound pizza dough (see footnote for recipe link)', '1 tablespoon flour, for dusting', 'Â½ cup diced smoked ham', 'Â½ cup shredded sharp white Cheddar cheese', '1 tablespoon finely grated Parmigiano-Reggiano cheese']",,"['fresh asparagus, trimmed', 'ricotta cheese', 'olive oil', ' cloves garlic, minced', ' pinch red pepper flakes, or to taste', 'salt and freshly ground black pepper to taste', 'heavy cream', 'chopped herbs, such as basil, parsley, rosemary, thyme', 'pizza doughsee footnote for link', 'flour, for dusting', 'diced smoked ham', 'shredded sharp white Cheddar cheese', 'finely grated Parmigiano-Reggiano cheese']",
Butternut Squash Pizzas with Rosemary,"['1 cup thinly sliced onion', 'Â½ butternut squash - peeled, seeded, and thinly sliced', '1 teaspoon chopped fresh rosemary', 'salt and black pepper to taste', '3 tablespoons olive oil, divided', '1 (16 ounce) package refrigerated pizza crust dough, divided', '1 tablespoon cornmeal', '2 tablespoons grated Asiago or Parmesan cheese']",,"['thinly sliced onion', ' butternut squash - peeled, seeded, and thinly sliced', 'chopped fresh rosemary', 'salt and black pepper to taste', 'olive oil, divided', ' package refrigerated pizza crust dough, divided', 'cornmeal', 'grated Asiago or Parmesan cheese']",
Jimmy's Mexican Pizza,"['Â½ pound ground beef', '1 medium onion, diced', '1 clove garlic, minced', '1 tablespoon chili powder', '1 teaspoon ground cumin', 'Â½ teaspoon paprika', 'Â½ teaspoon black pepper', 'Â½ teaspoon salt', '1 (16 ounce) can refried beans', '4 (10 inch) flour tortillas', 'Â½ cup salsa', '1 cup shredded Cheddar cheese', '1 cup shredded Monterey Jack cheese', '2 green onions, chopped', '2 roma (plum) tomatoes, diced', 'Â¼ cup thinly sliced jalapeno pepper', 'Â¼ cup sour cream']",,"['ground beef', ' medium onion, diced', ' clove garlic, minced', 'chili powder', 'ground cumin', 'paprika', 'black pepper', 'salt', ' can refried beans', ' inch flour tortillas', 'salsa', 'shredded Cheddar cheese', 'shredded Monterey Jack cheese', ' green onions, chopped', ' romaplum tomatoes, diced', 'thinly sliced jalapeno pepper', 'sour cream']",
Hummus Pizza,"['1 (10 ounce) can refrigerated pizza crust dough', '1 cup hummus spread', '1 Â½ cups sliced bell peppers, any color', '1 cup broccoli florets', '2 cups shredded Monterey Jack cheese']",,"[' can refrigerated pizza crust dough', 'hummus spread', ' sliced bell peppers, any color', 'broccoli florets', 'shredded Monterey Jack cheese']",
Reuben Pizza,"['1 (1 pound) loaf frozen whole wheat bread dough, thawed', 'Â½ cup thousand island dressing', '2 cups shredded Swiss cheese', '6 ounces deli sliced corned beef, cut into strips', '1 cup sauerkraut - rinsed and drained', 'Â½ teaspoon caraway seed', 'Â¼ cup chopped dill pickles']",,"[' pound loaf frozen whole wheat bread dough, thawed', 'thousand island dressing', 'shredded Swiss cheese', 'deli sliced corned beef, cut into strips', 'sauerkraut - rinsed and drained', 'caraway seed', 'chopped dill pickles']",
Waffle Pizzas,"['1 pound pizza dough', 'Â½ cup pizza sauce, divided', '1 cup shredded mozzarella cheese, divided', '16 slices pepperoni']",,"['pizza dough', 'pizza sauce, divided', 'shredded mozzarella cheese, divided', ' slices pepperoni']",
Poutine Pizza,"['2 cups all-purpose flour', '1 cup lukewarm water', '1 egg', '1 tablespoon instant yeast', '1 tablespoon white sugar', '1 (14 ounce) package frozen French fries (such as McCainÂ®)', 'cooking spray', '10 slices bacon, chopped', '1 (12 ounce) bag shredded Mexican cheese blend (such as KraftÂ®)', 'Â½ cup pizza sauce, or as needed', '1 (10.5 ounce) can beef gravy, or as needed']",,"['all-purpose flour', 'lukewarm water', ' egg', 'instant yeast', 'white sugar', ' package frozen French friessuch as McCain®', 'cooking spray', ' slices bacon, chopped', ' bag shredded Mexican cheese blendsuch as Kraft®', 'pizza sauce, or as needed', '. can beef gravy, or as needed']",
Mexican Pizza,"['Â½ (16 ounce) can spicy fat-free refried beans*', '1 cup salsa, divided', '1 (12 inch) pre-baked Italian pizza crust', '2 cups shredded hearts of romaine lettuce', '3 medium green onions, thinly sliced', 'Â¼ cup ranch dressing', 'Â¼ cup crumbled tortilla chips', '1 cup shredded pepper Jack or Monterey Jack cheese']",,"[' can spicy fat-free refried beans', 'salsa, divided', ' inch pre-baked Italian pizza crust', 'shredded hearts of romaine lettuce', ' medium green onions, thinly sliced', 'ranch dressing', 'crumbled tortilla chips', 'shredded pepper Jack or Monterey Jack cheese']",
Pierogi Pizza,"['2 Â¼ teaspoons active dry yeast', '2 teaspoons white sugar', '1 cup warm water', '3 cups all-purpose flour', '1 teaspoon salt', 'Â¼ cup olive oil', '6 potatoes, thinly sliced', '2 tablespoons olive oil', '8 ounces sour cream', '2 tablespoons garlic powder', '1 (8 ounce) package marbled Colby-Monterey Jack cheese, shredded', '1 bunch green onions, chopped', 'Â¼ cup bacon bits, or to taste']",,"[' active dry yeast', 'white sugar', 'warm water', 'all-purpose flour', 'salt', 'olive oil', ' potatoes, thinly sliced', 'olive oil', 'sour cream', 'garlic powder', ' package marbled Colby-Monterey Jack cheese, shredded', ' bunch green onions, chopped', 'bacon bits, or to taste']",
Fish Tacos,"['1 cup all-purpose flour', '2 tablespoons cornstarch', '1 teaspoon baking powder', 'Â½ teaspoon salt', '1 egg', '1 cup beer', 'Â½ cup plain yogurt', 'Â½ cup mayonnaise', '1 lime, juiced', '1 jalapeno pepper, minced', '1 teaspoon minced capers', 'Â½ teaspoon dried oregano', 'Â½ teaspoon ground cumin', 'Â½ teaspoon dried dill weed', '1 teaspoon ground cayenne pepper', '1 quart oil for frying', '1 pound cod fillets, cut into 2 to 3 ounce portions', '1 (12 ounce) package corn tortillas', 'Â½ medium head cabbage, finely shredded']",,"['all-purpose flour', 'cornstarch', 'baking powder', 'salt', ' egg', 'beer', 'plain yogurt', 'mayonnaise', ' lime, juiced', ' jalapeno pepper, minced', 'minced capers', 'dried oregano', 'ground cumin', 'dried dill weed', 'ground cayenne pepper', 'oil for frying', 'cod fillets, cut into  to  portions', ' package corn tortillas', ' medium head cabbage, finely shredded']",
Double Decker Tacos,"['1 pound ground beef', '1 (1 ounce) packet taco seasoning mix, divided', '1 (16 ounce) can refried beans', 'â…” cup water', '12 prepared crisp taco shells', '2 avocados', '1 tablespoon sour cream', '1 fresh lime, juiced', 'salt and black pepper to taste', '12 (7 inch) flour tortillas', '2 cups shredded Cheddar cheese', '1 cup shredded lettuce', '1 large tomato, chopped', 'Â¼ red onion, chopped', 'Â½ cup sour cream']",,"['ground beef', ' packet taco seasoning mix, divided', ' can refried beans', 'water', ' prepared crisp taco shells', ' avocados', 'sour cream', ' fresh lime, juiced', 'salt and black pepper to taste', ' inch flour tortillas', 'shredded Cheddar cheese', 'shredded lettuce', ' large tomato, chopped', ' red onion, chopped', 'sour cream']",
Spicy DoritoÂ® Taco Salad,"['1 pound ground beef', 'Â½ teaspoon garlic powder', 'Â½ teaspoon chili powder', 'Â¼ teaspoon ground black pepper', '1 head lettuce, chopped', '5 cups crushed nacho cheese-flavored tortilla chips', '2 cups shredded Colby-Jack cheese', '1 (15 ounce) can dark red kidney beans, drained and rinsed', '1 tomato, diced', 'â…“ cup chopped onion', 'Â¼ cup pickled jalapeno peppers, chopped', '1 cup vegetable oil', 'Â½ cup white sugar', 'Â½ cup ketchup', '1 envelope taco seasoning mix', '2 tablespoons cider vinegar', '1 tablespoon Worcestershire sauce']",,"['ground beef', 'garlic powder', 'chili powder', 'ground black pepper', ' head lettuce, chopped', 'crushed nacho cheese-flavored tortilla chips', 'shredded Colby-Jack cheese', ' can dark red kidney beans, drained and rinsed', ' tomato, diced', 'chopped onion', 'pickled jalapeno peppers, chopped', 'vegetable oil', 'white sugar', 'ketchup', ' envelope taco seasoning mix', 'cider vinegar', 'Worcestershire sauce']",
Tasty Lentil Tacos,"['1 teaspoon canola oil', 'â…” cup finely chopped onion', '1 small clove garlic, minced', 'â…” cup dried lentils, rinsed', '1 tablespoon taco seasoning, or to taste', '1 â…” cups chicken broth', 'â…” cup salsa', '12 taco shells']",,"['canola oil', 'finely chopped onion', ' small clove garlic, minced', 'dried lentils, rinsed', 'taco seasoning, or to taste', ' chicken broth', 'salsa', ' taco shells']",
Taqueria Style Tacos - Carne Asada,"['3 pounds flank steak', 'â…“ cup white vinegar', 'Â½ cup soy sauce', '4 cloves garlic, minced', '2 limes, juiced', 'Â½ cup olive oil', '1 teaspoon salt', '1 teaspoon ground black pepper', '1 teaspoon ground white pepper', '1 teaspoon garlic powder', '1 teaspoon chili powder', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1 teaspoon paprika', '1 white onion, chopped', 'Â½ cup chopped fresh cilantro', '1 lime, juiced', '2 large tomatoes, chopped', '2 jalapeno peppers, chopped', '1 white onion, quartered', '4 cloves garlic, peeled', '4 dried New Mexico chile pods', '1 pinch salt and pepper to taste', '1 (32 ounce) package corn tortillas', '2 cups grated cotija cheese', '2 limes, cut into wedges']",,"['flank steak', 'white vinegar', 'soy sauce', ' cloves garlic, minced', ' limes, juiced', 'olive oil', 'salt', 'ground black pepper', 'ground white pepper', 'garlic powder', 'chili powder', 'dried oregano', 'ground cumin', 'paprika', ' white onion, chopped', 'chopped fresh cilantro', ' lime, juiced', ' large tomatoes, chopped', ' jalapeno peppers, chopped', ' white onion, quartered', ' cloves garlic, peeled', ' dried New Mexico chile pods', ' pinch salt and pepper to taste', ' package corn tortillas', 'grated cotija cheese', ' limes, cut into wedges']",
Dee's Roast Pork for Tacos,"['4 pounds pork shoulder roast', '2 (4 ounce) cans diced green chilies, drained', 'Â¼ cup chili powder', '1 teaspoon dried oregano', '1 teaspoon taco seasoning', '2 teaspoons minced garlic', '1 Â½ teaspoons salt, or to taste']",,"['pork shoulder roast', ' cans diced green chilies, drained', 'chili powder', 'dried oregano', 'taco seasoning', 'minced garlic', ' salt, or to taste']",
Turkey and Yam Spicy Tacos,"['1 yam, peeled and diced', '1 tablespoon olive oil', 'Â¾ pound ground turkey', 'Â½ cup chopped sweet onion', '1 clove garlic, minced', '4 jalapeno peppers, seeded and minced', '1 tablespoon chili powder', '1 teaspoon ground cumin', 'Â½ teaspoon Cajun seasoning', 'Â½ teaspoon salt', 'Â½ cup tomatillo salsa', 'Â½ cup chopped fresh cilantro', '16 warm flour tortillas']",,"[' yam, peeled and diced', 'olive oil', 'ground turkey', 'chopped sweet onion', ' clove garlic, minced', ' jalapeno peppers, seeded and minced', 'chili powder', 'ground cumin', 'Cajun seasoning', 'salt', 'tomatillo salsa', 'chopped fresh cilantro', ' warm flour tortillas']",
Tasty Ground Turkey Tacos,"['1 Â½ pounds ground turkey', '1 (8 ounce) can tomato sauce', '8 fluid ounces water', '1 (4 ounce) can diced green chile peppers', 'Â½ onion, chopped', '1 (1.25 ounce) package taco seasoning mix', '1 clove garlic, minced', '12 (6 inch) corn tortillas', '1 cup shredded lettuce, or to taste', 'Â½ cup Cheddar cheese, or to taste', 'Â½ cup diced tomatoes, or to taste', 'Â¼ cup chopped green onion, or to taste', 'Â¼ cup chopped cilantro, or to taste', '2 tablespoons sliced olives, or to taste']",,"[' ground turkey', ' can tomato sauce', ' fluidwater', ' can diced green chile peppers', ' onion, chopped', '. package taco seasoning mix', ' clove garlic, minced', ' inch corn tortillas', 'shredded lettuce, or to taste', 'Cheddar cheese, or to taste', 'diced tomatoes, or to taste', 'chopped green onion, or to taste', 'chopped cilantro, or to taste', 'sliced olives, or to taste']",
Easy Keto Beef Tacos,"['2 cups shredded Cheddar cheese', '1 pound ground beef', 'Â½ package taco seasoning mix', 'Â½ teaspoon salt', 'Â¼ teaspoon ground black pepper', '1 avocado, diced', '1 cup shredded lettuce', 'Â½ cup shredded Cheddar cheese', 'Â½ cup tomatoes, diced']",,"['shredded Cheddar cheese', 'ground beef', ' package taco seasoning mix', 'salt', 'ground black pepper', ' avocado, diced', 'shredded lettuce', 'shredded Cheddar cheese', 'tomatoes, diced']",
Tater Tot Taco Casserole,"['1 pound ground beef', '1 small onion, diced', '1 clove garlic, minced', '1 (1 ounce) packet taco seasoning mix', '1 (16 ounce) bag frozen Mexican-style corn', '1 (12 ounce) can black beans, rinsed and drained', '1 (12 ounce) bag shredded Mexican cheese blend', '1 (16 ounce) package frozen tater tots', '1 (12 fluid ounce) can enchilada sauce']",,"['ground beef', ' small onion, diced', ' clove garlic, minced', ' packet taco seasoning mix', ' bag frozen Mexican-style corn', ' can black beans, rinsed and drained', ' bag shredded Mexican cheese blend', ' package frozen tater tots', ' fluid can enchilada sauce']",
Taco Salad I,"['1 pound lean ground beef', '1 (1.25 ounce) package taco seasoning mix', '1 (16 ounce) can chili beans', '1 (16 ounce) bottle French dressing', '1 head iceberg lettuce', '1 (14.5 ounce) package tortilla chips', '2 cups shredded Cheddar cheese', '1 cup chopped tomatoes', '4 tablespoons sour cream', 'Â½ cup prepared salsa']",,"['lean ground beef', '. package taco seasoning mix', ' can chili beans', ' bottle French dressing', ' head iceberg lettuce', '. package tortilla chips', 'shredded Cheddar cheese', 'chopped tomatoes', 'sour cream', 'prepared salsa']",
Taco Salad III,"['16 ounces lean ground beef', '1 (1.25 ounce) package taco seasoning mix', '1 head iceberg lettuce, shredded', '1 red onion, sliced', '1 bunch green onions, chopped', '1 (15 ounce) can pinto beans, drained', '1 (15 ounce) can kidney beans, drained', '2 large tomatoes, chopped', '1 avocados - peeled, pitted, and cubed', '8 ounces shredded Cheddar cheese', '1 (16 ounce) package corn chips', '1 (16 ounce) bottle Catalina salad dressing']",,"['lean ground beef', '. package taco seasoning mix', ' head iceberg lettuce, shredded', ' red onion, sliced', ' bunch green onions, chopped', ' can pinto beans, drained', ' can kidney beans, drained', ' large tomatoes, chopped', ' avocados - peeled, pitted, and cubed', 'shredded Cheddar cheese', ' package corn chips', ' bottle Catalina salad dressing']",
Irish Tacos,"['2 cups plain yogurt', 'Â½ cup mayonnaise', '1 lime, juiced', '2 tablespoons chopped fresh cilantro', '1 pinch cayenne pepper, or to taste', 'salt to taste', '1 Â½ cups shredded corned beef', '8 (10 inch) flour tortillas', '1 pound prepared coleslaw']",,"['plain yogurt', 'mayonnaise', ' lime, juiced', 'chopped fresh cilantro', ' pinch cayenne pepper, or to taste', 'salt to taste', ' shredded corned beef', ' inch flour tortillas', 'prepared coleslaw']",
Shredded SpamÂ® Tacos,"['cooking spray', '1 (12 ounce) can low-sodium canned luncheon meat (such as SPAMÂ®)', 'Â½ (1 ounce) envelope taco seasoning mix', '2 tablespoons water, or as needed', '1 (8 inch) flour tortillas', '1 (8 ounce) package shredded lettuce', '8 ounces block Cheddar cheese, grated', '1 small tomato, diced', '1 small onion, diced', '2 (2.5 ounce) can sliced black olives, drained']",,"['cooking spray', ' can low-sodium canned luncheon meatsuch as SPAM®', ' envelope taco seasoning mix', 'water, or as needed', ' inch flour tortillas', ' package shredded lettuce', 'block Cheddar cheese, grated', ' small tomato, diced', ' small onion, diced', '. can sliced black olives, drained']",
Lobster Tacos,"['4 lobster tails', 'salt and ground black pepper to taste', 'Â¼ cup red guajillo chile sauce (such as HerdezÂ®)', '1 tomato, diced, divided', '3 green onions, chopped', 'Â¼ cup shredded Colby-Monterey Jack cheese', '8 (6 inch) flour tortillas', '1 small avocado, sliced', 'Â½ cup shredded lettuce']",,"[' lobster tails', 'salt and ground black pepper to taste', 'red guajillo chile saucesuch as Herdez®', ' tomato, diced, divided', ' green onions, chopped', 'shredded Colby-Monterey Jack cheese', ' inch flour tortillas', ' small avocado, sliced', 'shredded lettuce']",
Navajo Tacos,"['1 pound dried pinto beans', '6 cups water, or as needed', '16 ounces frozen chili (such as JohnsonÂ®), thawed', '1 Â½ teaspoons ground cumin', '1 Â½ teaspoons dried oregano', '1 Â½ teaspoons garlic powder', '1 Â½ teaspoons onion powder', 'salt and ground black pepper to taste', '2 cups all-purpose flour (such as Blue BirdÂ®)', '2 tablespoons baking powder', '1 tablespoon salt', 'Â½ cup hot water, or as needed', 'Â¾ cup lard', '1 (16 ounce) package shredded Cheddar cheese', '2 tomatoes, chopped', '2 onions, chopped', '2 cups shredded iceberg lettuce']",,"['dried pinto beans', 'water, or as needed', 'frozen chilisuch as Johnson®, thawed', ' ground cumin', ' dried oregano', ' garlic powder', ' onion powder', 'salt and ground black pepper to taste', 'all-purpose floursuch as Blue Bird®', 'baking powder', 'salt', 'hot water, or as needed', 'lard', ' package shredded Cheddar cheese', ' tomatoes, chopped', ' onions, chopped', 'shredded iceberg lettuce']",
Easy Tacos,"['2 pounds ground beef', ""1 (14.5 ounce) carton Campbell'sÂ® Mexican Style Tomato Soup"", '12 taco shells, warmed', 'Â¾ cup shredded lettuce', 'â…“ cup shredded Cheddar cheese', 'Â¾ cup diced tomato']",,"['ground beef', "". carton Campbell's® Mexican Style Tomato Soup"", ' taco shells, warmed', 'shredded lettuce', 'shredded Cheddar cheese', 'diced tomato']",
Steak Taco,"['1 (3/4 pound) flank steak, trimmed', 'Â½ teaspoon freshly ground black pepper', 'Cooking spray', '1 tablespoon fresh lime juice', 'Â½ tablespoon olive oil', '2 cloves garlic, minced', 'Â¼ teaspoon kosher salt', '1 cup chopped romaine lettuce', '1 cup chopped red cabbage', '1 Avocado from Mexico, sliced', '1 (16 ounce) jar pickled red onions', 'Grilled scallions for garnish', '6 (6 inch) corn tortillas']",,"[' pound flank steak, trimmed', 'freshly ground black pepper', 'Cooking spray', 'fresh lime juice', 'olive oil', ' cloves garlic, minced', 'kosher salt', 'chopped romaine lettuce', 'chopped red cabbage', ' Avocado from Mexico, sliced', ' jar pickled red onions', 'Grilled scallions for garnish', ' inch corn tortillas']",
Tongue Tacos,"['1 beef tongue', '2 tomatoes, diced', '1 onion, diced', '1 bunch fresh cilantro, chopped', '1 tablespoon vegetable oil', 'salt and pepper to taste', '6 (6 inch) corn tortillas', '3 tablespoons lemon juice']",,"[' beef tongue', ' tomatoes, diced', ' onion, diced', ' bunch fresh cilantro, chopped', 'vegetable oil', 'salt and pepper to taste', ' inch corn tortillas', 'lemon juice']",
Eggplant Tacos,"['Â¼ cup olive oil, divided', '1 small onion, chopped', '2 tablespoons lemon juice', '2 cloves fresh garlic, minced', 'Â¼ jalapeno pepper, minced', '1 eggplant, cut into cubes', '2 tablespoons ground cumin', '1 tablespoon paprika', '1 Â½ teaspoons chili powder', '1 teaspoon ground black pepper', ""Â½ teaspoon seasoned salt (such as Johnny's Seasoning SaltÂ®)"", '4 taco shells']",,"['olive oil, divided', ' small onion, chopped', 'lemon juice', ' cloves fresh garlic, minced', ' jalapeno pepper, minced', ' eggplant, cut into cubes', 'ground cumin', 'paprika', ' chili powder', 'ground black pepper', ""seasoned saltsuch as Johnny's Seasoning Salt®"", ' taco shells']",
Indian Tacos,"['2 cups all-purpose flour', '1 tablespoon baking powder', 'Â½ teaspoon white sugar', 'Â½ teaspoon salt', '1 Â½ cups lukewarm water', '2 cups oil for frying, or as needed', '1 pound ground beef', '1 (1.25 ounce) package chili seasoning mix', '1 (15 ounce) can kidney beans, drained', '2 cups shredded Cheddar cheese', '2 cups chopped iceberg lettuce', '2 tomatoes, chopped', '1 cup sour cream']",,"['all-purpose flour', 'baking powder', 'white sugar', 'salt', ' lukewarm water', 'oil for frying, or as needed', 'ground beef', '. package chili seasoning mix', ' can kidney beans, drained', 'shredded Cheddar cheese', 'chopped iceberg lettuce', ' tomatoes, chopped', 'sour cream']",
Lentil Tacos,"['2 teaspoons ground ancho chile powder', '1 teaspoon ground cumin', 'Â½ teaspoon ground coriander', 'Â½ teaspoon dried oregano', 'Â½ teaspoon salt', 'Â¼ teaspoon ground fennel seed', '2 teaspoons olive oil', '1 small onion, minced', '2 cloves garlic, minced', '2 Â½ cups cooked brown or green lentils', '3 tablespoons tomato paste', '2 tablespoons water, or as needed', '2 canned chipotle chiles in adobo sauce, seeded and minced', '1 teaspoon adobo or hot sauce', '8 (6 inch) vegan corn or flour tortillas', '1 cup shredded lettuce', '1 cup chopped tomatoes', 'Â¼ cup chopped fresh cilantro', '1 cup guacamole', '1 lime, cut into 8 wedges']",,"['ground ancho chile powder', 'ground cumin', 'ground coriander', 'dried oregano', 'salt', 'ground fennel seed', 'olive oil', ' small onion, minced', ' cloves garlic, minced', ' cooked brown or green lentils', 'tomato paste', 'water, or as needed', ' canned chipotle chiles in adobo sauce, seeded and minced', 'adobo or hot sauce', ' inch vegan corn or flour tortillas', 'shredded lettuce', 'chopped tomatoes', 'chopped fresh cilantro', 'guacamole', ' lime, cut into  wedges']",
Pork Tacos,"['1 pound ground pork', '3 red potatoes', 'salt and pepper to taste', '8 taco shells', '1 cup iceberg lettuce, shredded', '1 cup chopped fresh tomato', 'Â¼ cup sour cream']",,"['ground pork', ' red potatoes', 'salt and pepper to taste', ' taco shells', 'iceberg lettuce, shredded', 'chopped fresh tomato', 'sour cream']",
